Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Sales Method
Foot Locker,1185732,2020-01-01,Northeast,New York,New York,Men's Street Footwear,50.00,1200,60000,30000.00,In-store
Foot Locker,1185732,2020-01-02,Northeast,New York,New York,Men's Athletic Footwear,50.00,1000,50000,15000.00,In-store
Foot Locker,1185732,2020-01-03,Northeast,New York,New York,Women's Street Footwear,40.00,1000,40000,14000.00,In-store
Foot Locker,1185732,2020-01-04,Northeast,New York,New York,Women's Athletic Footwear,45.00,850,38250,13387.50,In-store
Foot Locker,1185732,2020-01-05,Northeast,New York,New York,Men's Apparel,60.00,900,54000,16200.00,In-store
Foot Locker,1185732,2020-01-06,Northeast,New York,New York,Women's Apparel,50.00,1000,50000,12500.00,In-store
Foot Locker,1185732,2020-01-07,Northeast,New York,New York,Men's Street Footwear,50.00,1250,62500,31250.00,In-store
Foot Locker,1185732,2020-01-08,Northeast,New York,New York,Men's Athletic Footwear,50.00,900,45000,13500.00,Outlet
Foot Locker,1185732,2020-01-21,Northeast,New York,New York,Women's Street Footwear,40.00,950,38000,13300.00,Outlet
Foot Locker,1185732,2020-01-22,Northeast,New York,New York,Women's Athletic Footwear,45.00,825,37125,12993.75,Outlet
Foot Locker,1185732,2020-01-23,Northeast,New York,New York,Men's Apparel,60.00,900,54000,16200.00,Outlet
Foot Locker,1185732,2020-01-24,Northeast,New York,New York,Women's Apparel,50.00,1000,50000,12500.00,Outlet
Foot Locker,1185732,2020-01-25,Northeast,New York,New York,Men's Street Footwear,50.00,1220,61000,30500.00,Outlet
Foot Locker,1185732,2020-01-26,Northeast,New York,New York,Men's Athletic Footwear,50.00,925,46250,13875.00,Outlet
Foot Locker,1185732,2020-01-27,Northeast,New York,New York,Women's Street Footwear,40.00,950,38000,13300.00,Outlet
Foot Locker,1185732,2020-01-28,Northeast,New York,New York,Women's Athletic Footwear,45.00,800,36000,12600.00,Outlet
Foot Locker,1185732,2020-01-29,Northeast,New York,New York,Men's Apparel,60.00,850,51000,15300.00,Outlet
Foot Locker,1185732,2020-01-30,Northeast,New York,New York,Women's Apparel,50.00,950,47500,11875.00,Outlet
Foot Locker,1185732,2020-01-31,Northeast,New York,New York,Men's Street Footwear,50.00,1200,60000,30000.00,Outlet
Foot Locker,1185732,2020-02-01,Northeast,New York,New York,Men's Athletic Footwear,50.00,900,45000,13500.00,Outlet
Foot Locker,1185732,2020-02-02,Northeast,New York,New York,Women's Street Footwear,40.00,900,36000,12600.00,Outlet
Foot Locker,1185732,2020-02-03,Northeast,New York,New York,Women's Athletic Footwear,45.00,825,37125,12993.75,Outlet
Foot Locker,1185732,2020-02-04,Northeast,New York,New York,Men's Apparel,60.00,825,49500,14850.00,Outlet
Foot Locker,1185732,2020-02-05,Northeast,New York,New York,Women's Apparel,50.00,950,47500,11875.00,Outlet
Foot Locker,1185732,2020-02-06,Northeast,New York,New York,Men's Street Footwear,60.00,1220,73200,36600.00,Outlet
Foot Locker,1185732,2020-02-07,Northeast,New York,New York,Men's Athletic Footwear,55.00,925,50875,15262.50,Outlet
Foot Locker,1185732,2020-02-08,Northeast,New York,New York,Women's Street Footwear,50.00,900,45000,15750.00,Outlet
Foot Locker,1185732,2020-02-09,Northeast,New York,New York,Women's Athletic Footwear,50.00,850,42500,14875.00,Outlet
Foot Locker,1185732,2020-02-10,Northeast,New York,New York,Men's Apparel,60.00,875,52500,15750.00,Outlet
Foot Locker,1185732,2020-03-03,Northeast,New York,New York,Women's Apparel,65.00,1000,65000,16250.00,Outlet
Foot Locker,1185732,2020-03-04,Northeast,New York,New York,Men's Street Footwear,60.00,1250,75000,37500.00,Outlet
Foot Locker,1185732,2020-03-05,Northeast,New York,New York,Men's Athletic Footwear,55.00,1000,55000,16500.00,Outlet
Foot Locker,1185732,2020-03-06,Northeast,New York,New York,Women's Street Footwear,50.00,925,46250,16187.50,Outlet
Foot Locker,1185732,2020-03-07,Northeast,New York,New York,Women's Athletic Footwear,50.00,900,45000,15750.00,Outlet
Foot Locker,1185732,2020-03-08,Northeast,New York,New York,Men's aparel,60.00,900,54000,16200.00,Outlet
Foot Locker,1185732,2020-03-09,Northeast,New York,New York,Women's Apparel,65.00,1050,68250,17062.50,Outlet
Foot Locker,1185732,2020-03-10,Northeast,New York,New York,Men's Street Footwear,60.00,1275,76500,38250.00,Outlet
Foot Locker,1185732,2020-03-11,Northeast,New York,New York,Men's Athletic Footwear,55.00,1025,56375,16912.50,Outlet
Foot Locker,1185732,2020-03-12,Northeast,New York,New York,Women's Street Footwear,50.00,950,47500,16625.00,Outlet
Foot Locker,1185732,2020-03-13,Northeast,New York,New York,Women's Athletic Footwear,50.00,900,45000,15750.00,Outlet
Foot Locker,1185732,2020-03-14,Northeast,New York,New York,Men's Apparel,60.00,925,55500,16650.00,Outlet
Foot Locker,1185732,2020-03-15,Northeast,New York,New York,Women's Apparel,65.00,1100,71500,17875.00,Outlet
Foot Locker,1185732,2020-03-16,Northeast,New York,New York,Men's Street Footwear,60.00,1250,75000,37500.00,Outlet
Foot Locker,1185732,2020-03-17,Northeast,New York,New York,Men's Athletic Footwear,55.00,1025,56375,16912.50,Outlet
Foot Locker,1185732,2020-03-18,Northeast,New York,New York,Women's Street Footwear,50.00,950,47500,16625.00,Outlet
Foot Locker,1185732,2020-03-31,Northeast,New York,New York,Women's Athletic Footwear,50.00,925,46250,16187.50,Outlet
Walmart,1185732,2020-04-17,Northeast,New York,New York,Men's Apparel,60.00,900,54000,16200.00,Outlet
Walmart,1185732,2020-04-18,Northeast,New York,New York,Women's Apparel,65.00,1075,69875,17468.75,Outlet
Walmart,1185732,2020-04-19,Northeast,New York,New York,Men's Street Footwear,60.00,1200,72000,36000.00,Outlet
Walmart,1185732,2020-04-20,Northeast,New York,New York,Men's Athletic Footwear,55.00,1000,55000,16500.00,Outlet
Walmart,1185732,2020-04-21,Northeast,New York,New York,Women's Street Footwear,50.00,925,46250,16187.50,Outlet
Walmart,1185732,2020-04-22,Northeast,New York,New York,Women's Athletic Footwear,50.00,900,45000,15750.00,Outlet
Walmart,1185732,2020-04-23,Northeast,New York,New York,Men's Apparel,60.00,900,54000,16200.00,Outlet
Walmart,1185732,2020-04-24,Northeast,New York,New York,Women's Apparel,65.00,1000,65000,16250.00,Outlet
Walmart,1185732,2020-04-25,Northeast,New York,New York,Men's Apparel,65.00,875,56875,17062.50,Outlet
Walmart,1185732,2020-04-26,Northeast,New York,New York,Women's Apparel,70.00,1000,70000,17500.00,Outlet
Walmart,1185732,2020-04-27,Northeast,New York,New York,Men's Street Footwear,65.00,1150,74750,37375.00,Outlet
Walmart,1185732,2020-04-28,Northeast,New York,New York,Men's Athletic Footwear,55.00,975,53625,16087.50,Outlet
Walmart,1185732,2020-04-29,Northeast,New York,New York,Women's Street Footwear,55.00,920,50600,17710.00,Outlet
Walmart,1185732,2020-04-30,Northeast,New York,New York,Women's Athletic Footwear,55.00,900,49500,17325.00,Outlet
Walmart,1185732,2020-05-01,Northeast,New York,New York,Men's Apparel,65.00,875,56875,17062.50,Outlet
Walmart,1185732,2020-05-02,Northeast,New York,New York,Women's Apparel,70.00,975,68250,17062.50,Outlet
Walmart,1185732,2020-05-03,Northeast,New York,New York,Men's Street Footwear,65.00,1200,78000,39000.00,Outlet
Walmart,1185732,2020-05-04,Northeast,New York,New York,Men's Athletic Footwear,55.00,1000,55000,16500.00,Outlet
Walmart,1185732,2020-05-05,Northeast,New York,New York,Women's Street Footwear,55.00,950,52250,18287.50,Outlet
Walmart,1185732,2020-05-06,Northeast,New York,New York,Women's Athletic Footwear,55.00,900,49500,17325.00,Outlet
Walmart,1185732,2020-05-07,Northeast,New York,New York,Men's Apparel,65.00,900,58500,17550.00,Outlet
